text,label
I'm so disappointed.,0
I can't stop smiling!,1
I'm so sad right now.,0
I'm heartbroken.,0
I'm feeling great today!,1
I'm feeling down.,0
Why does everything go wrong?,0
I'm just so tired of everything.,0
Life is so tough.,0
I'm so proud of myself!,1
Nothing ever works out.,0
I'm so happy for you!,1
I'm so excited about this!,1
I can't believe this happened.,0
Life is beautiful!,1
This is the best news ever!,1
This is the worst day ever.,0
Today is amazing!,1
What a wonderful day!,1
Everything is going so well!,1
I'm really frustrated right now.,0
I feel on top of the world!,1
I'm feeling hopeless.,0
This is such a great day!,1
Why can't anything go right?,0
I'm bursting with joy!,1
I'm so nervous.,0
I have never been happier!,1
I'm devastated.,0
Everything is falling apart.,0
I'm full of energy today!,1
I'm incredibly sad.,0
I can't wait for tomorrow!,1
I'm in such a bad mood.,0
This is absolutely amazing!,1
I'm feeling so low.,0
I can't believe how lucky I am!,1
I'm so tired of trying.,0
This is the happiest day ever!,1
I'm so angry.,0
Everything is wonderful!,1
I'm at my breaking point.,0
I'm extremely joyful!,1
I'm so lonely.,0
This is such exciting news!,1
I feel so empty inside.,0
I'm thrilled beyond words!,1
I'm so miserable.,0
Today is going to be great!,1
I'm feeling utterly hopeless.,0
This is the best day of my life!,1
I'm so exhausted.,0
Everything is fantastic!,1
I'm overwhelmed with sadness.,0
I'm incredibly excited!,1
I'm so frustrated.,0
I can't wait to celebrate!,1
I'm so depressed.,0
This is the most amazing news!,1
I feel completely lost.,0
I'm on cloud nine!,1
I'm drowning in sorrow.,0
I'm so grateful!,1
I feel so helpless.,0
This is the best thing ever!,1
I'm utterly devastated.,0
I'm so proud of my accomplishments!,1
I'm so disappointed in myself.,0
I'm full of optimism!,1
I can't handle this anymore.,0
This is such a blessing!,1
I'm incredibly anxious.,0
I'm over the moon!,1
I feel like giving up.,0
This is going to be amazing!,1
I'm in despair.,0
I'm feeling so lucky!,1
I'm heartbroken beyond words.,0
I'm so relieved!,1
I'm feeling so down.,0
I'm incredibly happy!,1
This is the worst thing ever.,0
I'm so stressed out.,0
Everything is going to be fine!,1
I'm so drained.,0
I'm so excited for the future!,1
I feel like crying.,0
I'm so thrilled!,1
I'm so angry I could scream.,0
This is the best feeling!,1
I'm feeling so alone.,0
I'm full of joy!,1
I'm so upset.,0
I'm ecstatic!,1
I feel so hopeless.,0
This is the happiest I've ever been!,1
I'm feeling so low.,0
I'm on top of the world!,1
I'm in such a dark place.,0
I'm so excited to see what happens!,1
I feel so defeated.,0
I'm so proud of how far I've come!,1
I'm in a terrible mood.,0
This is the best day ever!,1
I'm feeling so worthless.,0
Everything is just perfect!,1
I'm so overwhelmed.,0
I can't believe how great this is!,1
I'm so anxious.,0
I'm full of positivity!,1
I'm feeling so depressed.,0
This is the most wonderful news!,1
I'm so down.,0
I'm filled with so much joy!,1
I can't take this anymore.,0
I'm so happy to be here!,1
I'm at my wits' end.,0
This is going to be the best day!,1
I'm feeling so numb.,0
I'm on top of the world today!,1
I can't believe this is happening!,1
I feel so powerless.,0
I'm so grateful for everything!,1
I'm struggling so much.,0
This is the best surprise ever!,1
I'm so sad I can't even speak.,0
I'm feeling so positive!,1
I'm so upset I could cry.,0
This is the most exciting thing!,1
I'm feeling so bleak.,0
I'm full of hope!,1
I'm feeling so lost.,0
I'm thrilled to be alive!,1
I feel like everything is against me.,0
This is the happiest I've ever been!,1
I'm so angry I can't think straight.,0
I'm so happy I could burst!,1
I feel so empty.,0
I'm filled with excitement!,1
I'm feeling so helpless.,0
I'm so thankful for today!,1
I feel like nothing matters.,0
This is going to be a great day!,1
I'm feeling so much pain.,0
I'm on top of the world!,1
I'm so disappointed in everything.,0
I'm so happy right now!,1
I feel like I'm at rock bottom.,0
This is the most incredible feeling!,1
I'm so tired I can't move.,0
I'm feeling so joyful!,1
I feel like I'm drowning.,0
I'm so happy to be alive!,1
I'm feeling so hopeless.,0
I'm full of energy today!,1
I'm feeling so stressed out.,0
This is going to be an amazing day!,1
I feel like giving up on everything.,0
I'm feeling so optimistic!,1
I'm so miserable.,0
I'm on top of the world!,1
I'm feeling so down today.,0
I feel like the luckiest person alive!,1
I'm so frustrated with everything.,0
This is the happiest I've been in a long time!,1
I'm so drained emotionally.,0
I'm feeling so grateful!,1
I feel like nothing will ever get better.,0
I'm so thrilled about this!,1
I'm feeling so defeated.,0
This is the most wonderful day!,1
